Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,4033,115,502,3416,255,2.85,12.45,22.91,38928341,104.0,2469,1564,63.35
Albania,856,31,627,198,6,3.62,73.25,4.94,2877800,297.0,789,67,8.49
Algeria,5558,494,2546,2518,189,8.89,45.81,19.4,43851043,127.0,4295,1263,29.41
Andorra,754,48,545,161,2,6.37,72.28,8.81,77265,9759.0,747,7,0.94
Angola,43,2,13,28,0,4.65,30.23,15.38,32866268,1.0,35,8,22.86
Antigua and Barbuda,25,3,19,3,0,12.0,76.0,15.79,97928,255.0,25,0,0.0
Argentina,5776,300,1728,3748,165,5.19,29.92,17.36,45195777,128.0,4681,1095,23.39
Armenia,3175,44,1267,1864,146,1.39,39.91,3.47,2963234,1071.0,2273,902,39.68
Australia,6939,97,6141,701,21,1.4,88.5,1.58,50919400,136.0,6799,140,2.06
Austria,15833,615,13928,1290,59,3.88,87.97,4.42,9006400,1758.0,15558,275,1.77
Azerbaijan,2422,31,1620,771,143,1.28,66.89,1.91,10139175,239.0,1894,528,27.88
Bahamas,92,11,37,44,0,11.96,40.22,29.73,393248,234.0,83,9,10.84
Bahrain,4774,8,2055,2711,330,0.17,43.05,0.39,1701583,2806.0,3284,1490,45.37
Bangladesh,13770,214,2414,11142,636,1.55,17.53,8.86,164689383,84.0,8790,4980,56.66
Barbados,84,7,57,20,1,8.33,67.86,12.28,287371,292.0,81,3,3.7
Belarus,22052,126,6050,15876,951,0.57,27.44,2.08,9449321,2334.0,15828,6224,39.32
Belgium,52596,8581,13411,30604,585,16.31,25.5,63.98,11589616,4538.0,49517,3079,6.22
Belize,18,2,16,0,0,11.11,88.89,12.5,397621,45.0,18,0,0.0
Benin,284,2,62,220,42,0.7,21.83,3.23,12123198,23.0,90,194,215.56
Bhutan,7,0,5,2,0,0.0,71.43,0.0,771612,9.0,7,0,0.0
Bolivia,2437,114,258,2065,171,4.68,10.59,44.19,11673029,209.0,1470,967,65.78
Bosnia and Herzegovina,2090,102,1059,929,20,4.88,50.67,9.63,3280815,637.0,1839,251,13.65
Botswana,23,1,12,10,0,4.35,52.17,8.33,2351625,10.0,23,0,0.0
Brazil,156061,10656,61685,83720,9167,6.83,39.53,17.27,212559409,734.0,97100,58961,60.72
Brunei,141,1,132,8,0,0.71,93.62,0.76,437483,322.0,138,3,2.17
Bulgaria,1921,90,422,1409,49,4.69,21.97,21.33,6948445,276.0,1594,327,20.51
Burkina Faso,748,48,569,131,4,6.42,76.07,8.44,20903278,36.0,652,96,14.72
Burma,178,6,68,104,1,3.37,38.2,8.82,54409800,3.0,151,27,17.88
Burundi,15,1,7,7,0,6.67,46.67,14.29,11890781,1.0,15,0,0.0
Cabo Verde,236,2,56,178,6,0.85,23.73,3.57,555988,424.0,152,84,55.26
Cambodia,122,0,120,2,0,0.0,98.36,0.0,16718971,7.0,122,0,0.0
Cameroon,2274,108,1232,934,7,4.75,54.18,8.77,26545864,86.0,2077,197,9.48
Canada,68918,4823,31262,32833,1244,7.0,45.36,15.43,75711404,910.0,57926,10992,18.98
Central African Republic,143,0,10,133,0,0.0,6.99,0.0,4829764,30.0,72,71,98.61
Chad,322,31,53,238,62,9.63,16.46,58.49,16425859,20.0,117,205,175.21
Chile,27219,304,12667,14248,1247,1.12,46.54,2.4,19116209,1424.0,18435,8784,47.65
China,83990,4637,79127,226,14,5.52,94.21,5.86,-2147483648,-39.0,83959,31,0.04
Colombia,10495,445,2569,7481,444,4.24,24.48,17.32,50882884,206.0,7285,3210,44.06
Comoros,11,1,0,10,3,9.09,0.0,inf,869595,13.0,3,8,266.67
Congo (Brazzaville),274,10,33,231,0,3.65,12.04,30.3,89561403,3.0,229,45,19.65
Congo (Kinshasa),937,39,130,768,0,4.16,13.87,30.0,5518087,170.0,674,263,39.02
Costa Rica,780,6,480,294,7,0.77,61.54,1.25,5094114,153.0,733,47,6.41
Cote d'Ivoire,1667,21,769,877,65,1.26,46.13,2.73,26378274,63.0,1362,305,22.39
Croatia,2176,87,1726,363,15,4.0,79.32,5.04,4105268,530.0,2088,88,4.21
Cuba,1754,74,1140,540,13,4.22,64.99,6.49,11326616,155.0,1611,143,8.88
Cyprus,892,15,401,476,1,1.68,44.96,3.74,1207361,739.0,864,28,3.24
Czechia,8095,276,4447,3372,18,3.41,54.94,6.21,10708981,756.0,7755,340,4.38
Denmark,10517,526,8291,1700,101,5.0,78.83,6.34,5897840,1783.0,9605,912,9.5
Diamond Princess,712,13,645,54,0,1.83,90.59,2.02,0,inf,712,0,0.0
Djibouti,1189,3,834,352,54,0.25,70.14,0.36,988002,1203.0,1112,77,6.92
Dominica,16,0,14,2,0,0.0,87.5,0.0,71991,222.0,16,0,0.0
Dominican Republic,9882,385,2584,6913,506,3.9,26.15,14.9,10847904,911.0,7578,2304,30.4
Ecuador,29071,1717,3433,23921,253,5.91,11.81,50.01,17643060,1648.0,27464,1607,5.85
Egypt,8964,514,2002,6448,488,5.73,22.33,25.67,102334403,88.0,6193,2771,44.74
El Salvador,784,17,276,491,42,2.17,35.2,6.16,6486201,121.0,446,338,75.78
Equatorial Guinea,439,4,13,422,0,0.91,2.96,30.77,1402985,313.0,315,124,39.37
Eritrea,39,0,37,2,0,0.0,94.87,0.0,3546427,11.0,39,0,0.0
Estonia,1733,60,747,926,8,3.46,43.1,8.03,1326539,1306.0,1699,34,2.0
Eswatini,163,2,14,147,4,1.23,8.59,14.29,1160164,140.0,108,55,50.93
Ethiopia,210,5,97,108,16,2.38,46.19,5.15,114963583,2.0,133,77,57.89
Fiji,18,0,14,4,0,0.0,77.78,0.0,896444,20.0,18,0,0.0
Finland,5880,265,4000,1615,142,4.51,68.03,6.62,5540718,1061.0,5176,704,13.6
France,176782,26313,56148,94321,580,14.88,31.76,46.86,68136441,2595.0,168518,8264,4.9
Gabon,661,8,110,543,41,1.21,16.64,7.27,2225728,297.0,335,326,97.31
Gambia,20,1,9,10,0,5.0,45.0,11.11,2416664,8.0,17,3,17.65
Georgia,626,10,297,319,3,1.6,47.44,3.37,3989175,157.0,582,44,7.56
Germany,171324,7549,143300,20475,736,4.41,83.64,5.27,83783945,2045.0,164967,6357,3.85
Ghana,4263,22,378,3863,251,0.52,8.87,5.82,31072945,137.0,2169,2094,96.54
Greece,2710,151,1374,1185,19,5.57,50.7,10.99,10423056,260.0,2620,90,3.44
Grenada,21,0,13,8,0,0.0,61.9,0.0,112519,187.0,21,0,0.0
Guatemala,967,24,104,839,67,2.48,10.75,23.08,17915567,54.0,688,279,40.55
Guinea,2042,11,698,1333,33,0.54,34.18,1.58,13132792,155.0,1586,456,28.75
Guinea-Bissau,641,3,25,613,47,0.47,3.9,12.0,1967998,326.0,257,384,149.42
Guyana,94,10,35,49,0,10.64,37.23,28.57,786559,120.0,82,12,14.63
Haiti,151,12,17,122,5,7.95,11.26,70.59,11402533,13.0,85,66,77.65
Holy See,12,0,2,10,0,0.0,16.67,0.0,809,14833.0,11,1,9.09
Honduras,1830,108,195,1527,59,5.9,10.66,55.38,9904608,185.0,1010,820,81.19
Hungary,3213,405,904,1904,35,12.61,28.14,44.8,9660350,333.0,2942,271,9.21
Iceland,1801,10,1773,18,0,0.56,98.45,0.56,341250,5278.0,1798,3,0.17
India,62808,2101,19301,41406,3113,3.35,30.73,10.89,1380004385,46.0,39699,23109,58.21
Indonesia,13645,959,2607,10079,533,7.03,19.11,36.79,273523621,50.0,10843,2802,25.84
Iran,106220,6589,85064,14567,1529,6.2,80.08,7.75,83992953,1265.0,96448,9772,10.13
Iraq,2679,107,1702,870,76,3.99,63.53,6.29,40222503,67.0,2219,460,20.73
Ireland,22760,1446,17110,4204,219,6.35,75.18,8.45,4937796,4609.0,21176,1584,7.48
Israel,16454,247,11376,4831,18,1.5,69.14,2.17,8655541,1901.0,16185,269,1.66
Italy,218268,30395,103031,84842,1083,13.93,47.2,29.5,60461828,3610.0,209328,8940,4.27
Jamaica,490,9,62,419,0,1.84,12.65,14.52,2961161,165.0,463,27,5.83
Japan,15663,607,5906,9150,88,3.88,37.71,10.28,126476458,124.0,14571,1092,7.49
Jordan,522,9,387,126,14,1.72,74.14,2.33,10203140,51.0,460,62,13.48
Kazakhstan,4975,31,1776,3168,141,0.62,35.7,1.75,18776707,265.0,3857,1118,28.99
Kenya,649,30,207,412,28,4.62,31.9,14.49,53771300,12.0,435,214,49.2
"Korea, South",10874,256,9610,1008,34,2.35,88.38,2.66,51269183,212.0,10793,81,0.75
Kosovo,862,28,622,212,1,3.25,72.16,4.5,1793000,481.0,823,39,4.74
Kuwait,7623,49,2622,4952,415,0.64,34.4,1.87,4270563,1785.0,4619,3004,65.04
Kyrgyzstan,931,12,658,261,25,1.29,70.68,1.82,6524191,143.0,769,162,21.07
Laos,19,0,13,6,0,0.0,68.42,0.0,7275556,3.0,19,0,0.0
Latvia,930,18,464,448,2,1.94,49.89,3.88,1886202,493.0,871,59,6.77
Lebanon,809,26,234,549,13,3.21,28.92,11.11,6825442,119.0,733,76,10.37
Liberia,199,20,79,100,0,10.05,39.7,25.32,5057677,39.0,154,45,29.22
Libya,64,3,24,37,0,4.69,37.5,12.5,6871287,9.0,63,1,1.59
Liechtenstein,82,1,55,26,0,1.22,67.07,1.82,38137,2150.0,82,0,0.0
Lithuania,1444,49,828,567,8,3.39,57.34,5.92,2722291,530.0,1406,38,2.7
Luxembourg,3877,101,3550,226,6,2.61,91.57,2.85,625976,6194.0,3812,65,1.71
MS Zaandam,9,2,0,7,0,22.22,0.0,inf,0,inf,9,0,0.0
Madagascar,193,0,101,92,0,0.0,52.33,0.0,27691019,7.0,135,58,42.96
Malawi,56,3,14,39,13,5.36,25.0,21.43,19129955,3.0,38,18,47.37
Malaysia,6589,108,4929,1552,54,1.64,74.81,2.19,32365998,204.0,6176,413,6.69
Maldives,790,3,29,758,46,0.38,3.67,10.34,540542,1461.0,519,271,52.22
Mali,692,37,298,357,24,5.35,43.06,12.42,20250834,34.0,544,148,27.21
Malta,490,5,427,58,1,1.02,87.14,1.17,441539,1110.0,468,22,4.7
Mauritania,8,1,6,1,0,12.5,75.0,16.67,4649660,2.0,8,0,0.0
Mauritius,332,10,320,2,0,3.01,96.39,3.12,1271767,261.0,332,0,0.0
Mexico,33460,3353,21824,8283,1938,10.02,65.22,15.36,128932753,260.0,22088,11372,51.48
Moldova,4867,161,1925,2781,139,3.31,39.55,8.36,4033963,1207.0,4052,815,20.11
Monaco,96,4,82,10,1,4.17,85.42,4.88,39244,2446.0,95,1,1.05
Mongolia,42,0,14,28,0,0.0,33.33,0.0,3278292,13.0,39,3,7.69
Montenegro,324,8,274,42,0,2.47,84.57,2.92,628062,516.0,322,2,0.62
Morocco,5910,186,2461,3263,199,3.15,41.64,7.56,36910558,160.0,4729,1181,24.97
Mozambique,87,0,34,53,5,0.0,39.08,0.0,31255435,3.0,79,8,10.13
Namibia,16,0,10,6,0,0.0,62.5,0.0,2540916,6.0,16,0,0.0
Nepal,110,0,31,79,8,0.0,28.18,0.0,29136808,4.0,59,51,86.44
Netherlands,42581,5441,149,36991,289,12.78,0.35,3651.68,17474842,2437.0,40434,2147,5.31
New Zealand,1494,21,1371,102,2,1.41,91.77,1.53,4822233,310.0,1487,7,0.47
Nicaragua,16,5,7,4,0,31.25,43.75,71.43,6624554,2.0,14,2,14.29
Niger,815,45,617,153,20,5.52,75.71,7.29,24206636,34.0,736,79,10.73
Nigeria,4151,128,745,3278,239,3.08,17.95,17.18,206139587,20.0,2388,1763,73.83
North Macedonia,1622,91,1112,419,36,5.61,68.56,8.18,2083380,779.0,1506,116,7.7
Norway,8099,219,32,7848,29,2.7,0.4,684.38,5421242,1494.0,7809,290,3.71
Oman,3224,17,1068,2139,112,0.53,33.13,1.59,5106622,631.0,2483,741,29.84
Pakistan,28736,636,7809,20291,2301,2.21,27.17,8.14,220892331,130.0,19103,9633,50.43
Panama,8282,237,4501,3544,212,2.86,54.35,5.27,4314768,1919.0,7090,1192,16.81
Papua New Guinea,8,0,8,0,0,0.0,100.0,0.0,8947027,1.0,8,0,0.0
Paraguay,689,10,155,524,126,1.45,22.5,6.45,7132530,97.0,370,319,86.22
Peru,65015,1814,20246,42955,3168,2.79,31.14,8.96,32971846,1972.0,42534,22481,52.85
Philippines,10610,704,1842,8064,147,6.64,17.36,38.22,109581085,97.0,8928,1682,18.84
Poland,15651,785,5437,9429,285,5.02,34.74,14.44,37846605,414.0,13375,2276,17.02
Portugal,27406,1126,2499,23781,138,4.11,9.12,45.06,10196707,2688.0,25190,2216,8.8
Qatar,21331,13,2449,18869,1130,0.06,11.48,0.53,2881060,7404.0,14872,6459,43.43
Romania,15131,939,6912,7280,320,6.21,45.68,13.59,19237682,787.0,12732,2399,18.84
Russia,198676,1827,31916,164933,10817,0.92,16.06,5.72,145934460,1361.0,124054,74622,60.15
Rwanda,280,0,140,140,7,0.0,50.0,0.0,12952209,22.0,255,25,9.8
Saint Kitts and Nevis,15,0,14,1,0,0.0,93.33,0.0,53109,282.0,15,0,0.0
Saint Lucia,18,0,17,1,0,0.0,94.44,0.0,183629,98.0,17,1,5.88
Saint Vincent and the Grenadines,17,0,9,8,0,0.0,52.94,0.0,110854,153.0,16,1,6.25
San Marino,637,41,126,470,14,6.44,19.78,32.54,33938,18770.0,580,57,9.83
Sao Tome and Principe,208,5,4,199,0,2.4,1.92,125.0,219159,949.0,16,192,1200.0
Saudi Arabia,37136,239,10144,26753,1704,0.64,27.32,2.36,34813867,1067.0,25459,11677,45.87
Senegal,1634,17,643,974,83,1.04,39.35,2.64,16743930,98.0,1115,519,46.55
Serbia,10032,215,2732,7085,89,2.14,27.23,7.87,8737370,1148.0,9362,670,7.16
Seychelles,11,0,8,3,0,0.0,72.73,0.0,98340,112.0,11,0,0.0
Sierra Leone,291,18,58,215,34,6.19,19.93,31.03,7976985,36.0,155,136,87.74
Singapore,22460,20,2296,20144,753,0.09,10.22,0.87,5850343,3839.0,17548,4912,27.99
Slovakia,1455,26,919,510,0,1.79,63.16,2.83,5459643,267.0,1407,48,3.41
Slovenia,1454,101,255,1098,4,6.95,17.54,39.61,2078932,699.0,1439,15,1.04
Somalia,997,48,110,839,69,4.81,11.03,43.64,15893219,63.0,671,326,48.58
South Africa,9420,186,3983,5251,525,1.97,42.28,4.67,59308690,159.0,6336,3084,48.67
South Sudan,120,0,2,118,0,0.0,1.67,0.0,11193729,11.0,45,75,166.67
Spain,223578,26478,133952,63148,721,11.84,59.91,19.77,93691843,2386.0,216582,6996,3.23
Sri Lanka,847,9,260,578,12,1.06,30.7,3.46,21413250,40.0,705,142,20.14
Sudan,1164,64,119,981,53,5.5,10.22,53.78,43849269,27.0,592,572,96.62
Suriname,10,1,9,0,0,10.0,90.0,11.11,586634,17.0,10,0,0.0
Sweden,25921,3220,4971,17730,656,12.42,19.18,64.78,10099270,2567.0,22082,3839,17.39
Switzerland,30251,1830,26400,2021,44,6.05,87.27,6.93,8654618,3495.0,29817,434,1.46
Syria,47,3,29,15,0,6.38,61.7,10.34,17500657,3.0,44,3,6.82
Taiwan*,440,6,361,73,0,1.36,82.05,1.66,23806638,18.0,432,8,1.85
Tajikistan,612,20,0,592,90,3.27,0.0,inf,9537642,64.0,76,536,705.26
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,480,29,6.04
Thailand,3004,56,2787,161,4,1.86,92.78,2.01,69799978,43.0,2966,38,1.28
Timor-Leste,24,0,21,3,0,0.0,87.5,0.0,1318442,18.0,24,0,0.0
Togo,153,10,87,56,8,6.54,56.86,11.49,8278737,18.0,123,30,24.39
Trinidad and Tobago,116,8,104,4,0,6.9,89.66,7.69,1399491,83.0,116,0,0.0
Tunisia,1032,45,660,327,2,4.36,63.95,6.82,11818618,87.0,1009,23,2.28
Turkey,137115,3739,89480,43896,1546,2.73,65.26,4.18,84339067,1626.0,124375,12740,10.24
US,1309550,78795,212534,1018221,25621,6.02,16.23,37.07,330541757,3962.0,1132539,177011,15.63
Uganda,116,0,55,61,15,0.0,47.41,0.0,45741000,3.0,88,28,31.82
Ukraine,14710,376,2909,11425,515,2.56,19.78,12.93,43733759,336.0,11411,3299,28.91
United Arab Emirates,17417,185,4295,12937,624,1.06,24.66,4.31,9890400,1761.0,13599,3818,28.08
United Kingdom,216525,31662,1001,183862,3896,14.62,0.46,3163.04,68395658,3166.0,183500,33025,18.0
Uruguay,702,18,513,171,8,2.56,73.08,3.51,3473727,202.0,652,50,7.67
Uzbekistan,2349,10,1846,493,24,0.43,78.59,0.54,33469199,70.0,2118,231,10.91
Venezuela,402,10,190,202,14,2.49,47.26,5.26,28435943,14.0,345,57,16.52
Vietnam,288,0,241,47,0,0.0,83.68,0.0,97338583,3.0,270,18,6.67
West Bank and Gaza,375,2,228,145,0,0.53,60.8,0.88,4543126,83.0,353,22,6.23
Western Sahara,6,0,5,1,0,0.0,83.33,0.0,597330,10.0,6,0,0.0
Yemen,34,7,1,26,0,20.59,2.94,700.0,29825968,1.0,10,24,240.0
Zambia,252,7,112,133,85,2.78,44.44,6.25,18383956,14.0,119,133,111.76
Zimbabwe,35,4,9,22,1,11.43,25.71,44.44,14862927,2.0,34,1,2.94
